designation,    rho,    P_high
Gaia DR3 2800716532698390144 , None , None
Gaia DR3 2793543245823732480 , 165.61393370516495 , 0.49838695254108323
Gaia DR3 2800823799506215168 , 251.0209698327568 , 0.30957101000616216
Gaia DR3 2797502969447956352 , 1306.6047809841646 , 0.9564266452544287
Gaia DR3 2797502965152979072 , 1161.9404516507088 , 0.9666977732880805
Gaia DR3 2800939767918392576 , 618.0688975388399 , 0.9162168439621567
Gaia DR3 2801114590267248128 , 5.037223393946769 , 1.2982559079497618e-05
Gaia DR3 2801124623310817536 , 680.6422410933446 , 0.8987794999231241
Gaia DR3 2794018514021041664 , 1595.8530963564108 , 0.9840651616256009
Gaia DR3 2801216123294143360 , 189.7357101083634 , 0.2603485046178306
Gaia DR3 2794119428571860096 , 256.13557217090664 , 0.7608075159067385
Gaia DR3 2794139151062203392 , 0.7557230161534774 , 4.553771429286397e-11
Gaia DR3 2794173098483182208 , 299.6462396417382 , 0.6039624379308377
Gaia DR3 2794271603558181376 , 94.23287991295754 , 0.036980144127845456
Gaia DR3 2794271607853197824 , 70.42975722413998 , 0.09411774413009481
Gaia DR3 2794420351160369920 , 132.46080815307653 , 0.3809561394359818
Gaia DR3 2794557858833375104 , 223.27363376521018 , 0.5707940562443263
Gaia DR3 2794596547898843904 , 264.80890815089833 , 0.6525968780281716
Gaia DR3 2794613899566711936 , 381.16299132272326 , 0.7891491203853414
Gaia DR3 2794629876844945024 , 727.0230705681722 , 0.8972143808273064
Gaia DR3 2794635374403153920 , 64.07542295171808 , 0.23134004089949306
Gaia DR3 2794719864999713664 , 12.09795807650088 , 0.00014017108508699073
Gaia DR3 2794879672143132416 , 619.578018346051 , 0.9726513689326636
Gaia DR3 2794917914531864064 , 520.8319800202307 , 0.8649868818636499
Gaia DR3 430215024238708608 , 279.90539395101285 , 0.5453217605272668
Gaia DR3 430230589200013056 , 14.660488863908057 , 0.0001566020228290531
Gaia DR3 430262367650058752 , 574.9567728922858 , 0.8816827312804487
Gaia DR3 430268522348053632 , 661.877886309024 , 0.8243104837945789
Gaia DR3 4688756084117388544 , 392.3057891763213 , 0.7876367072299263
Gaia DR3 4688783606267612928 , 197.67504660259416 , 0.335660350945029
Gaia DR3 430724235559561856 , 1146.5216696679097 , 0.9286146070218132
Gaia DR3 430724235562514688 , 922.6402593174864 , 0.9074592356475968
Gaia DR3 4688798380955150720 , 624.5615446495228 , 0.9319081072506589
Gaia DR3 430546767510593920 , 90.69382798697913 , 0.05108875552902006
Gaia DR3 430947092821715968 , 499.692891528596 , 0.773137668054932
Gaia DR3 430947195900929024 , 502.81818438521225 , 0.8450562763381977
Gaia DR3 430558965219003776 , 1032.9061163711892 , 0.9762242849806396
Gaia DR3 430569444939189376 , 631.737961758143 , 0.9068928413190203
Gaia DR3 430986262924377216 , 234.08999537732262 , 0.29416977527690286
Gaia DR3 431218324294012928 , 73.84221201766614 , 0.00849859741909816
Gaia DR3 430459184539975680 , 67.94414337805249 , 0.04002716783864633
Gaia DR3 430461830239712512 , None , None
Gaia DR3 431050034600362240 , 1209.0211814736724 , 0.9198302347281092
Gaia DR3 430472894075422848 , 1768.873840595177 , 0.9933435854442342
Gaia DR3 430881981118821248 , 8.263268619890026 , 8.62250263481111e-05
Gaia DR3 430690219417639680 , 813.192510130415 , 0.9769486459068414
