target,    dr2id,    dr3id
TOI-1301 , Gaia DR2 2266490873877571712 , Gaia DR3 2266490873877571712
Kepler-745 , Gaia DR2 2051748659478657152 , Gaia DR3 2051748659478657152
Kepler-686 , Gaia DR2 2100247945575646336 , Gaia DR3 2100247945575646336
Kepler-311 , Gaia DR2 2119534646538533888 , Gaia DR3 2119534646538533888
HATS-53 , Gaia DR2 3465357945752055040 , Gaia DR3 3465357945752055040
K2-63 , Gaia DR2 2612881429407251328 , Gaia DR3 2612881429407251328
HD 200964 , Gaia DR2 1732018855730384256 , Gaia DR3 1732018855730384256
Kepler-1492 , Gaia DR2 2102111102390564864 , Gaia DR3 2102111102390564864
Kepler-953 , Gaia DR2 2127132821641254272 , Gaia DR3 2127132821641254272
TOI-1842 , Gaia DR2 3719927426253118848 , Gaia DR3 3719927426253118848
Kepler-719 , Gaia DR2 2079608703576897024 , Gaia DR3 2079608703576897024
Kepler-943 , Gaia DR2 2103725219818080640 , Gaia DR3 2103725219818080640
Kepler-1548 , Gaia DR2 2130318420364920192 , Gaia DR3 2130318420364920192
Kepler-1773 , Gaia DR2 2099957605786905344 , Gaia DR3 2099957605786905344
HD 181433 , Gaia DR2 6434153380720177664 , Gaia DR3 6434153380720177664
Kepler-870 , Gaia DR2 2135175478621290624 , Gaia DR3 2135175478621290624
KMT-2021-BLG-0909L , None , None
K2-176 , Gaia DR2 49842515651843200 , Gaia DR3 49842515651843200
Kepler-1268 , Gaia DR2 2102974528255171968 , Gaia DR3 2102974528255171968
Kepler-324 , Gaia DR2 2132078120004385152 , Gaia DR3 2132078120004385152
Kepler-631 , Gaia DR2 2073719238270085504 , Gaia DR3 2073719238270085504
Kepler-156 , Gaia DR2 2051105410816218368 , Gaia DR3 2051105410816218368
Kepler-1637 , Gaia DR2 2119706690045629824 , Gaia DR3 2119706690045629824
Kepler-1879 , Gaia DR2 2102232083029221504 , Gaia DR3 2102232083029221504
TOI-837 , Gaia DR2 5251470948229949568 , Gaia DR3 5251470948229949568
Qatar 9 , Gaia DR2 1048109222955337600 , Gaia DR3 1048109222955337600
K2-372 , Gaia DR2 602348482997667840 , Gaia DR3 602348482997667840
XO-6 , Gaia DR2 1114308481600798336 , Gaia DR3 1114308481603347584
TOI-519 , Gaia DR2 5707485527450614656 , Gaia DR3 5707485527450614656
TOI-907 , Gaia DR2 5910312231273215872 , Gaia DR3 5910312231273215872
TOI-1420 , Gaia DR2 2221164434736927360 , Gaia DR3 2221164434736927360
Kepler-522 , Gaia DR2 2103117666624517888 , Gaia DR3 2103117666624517888
Kepler-1967 , Gaia DR2 2075973718142345472 , Gaia DR3 2075973718142345472
Kepler-592 , Gaia DR2 2131920370147385472 , Gaia DR3 2131920370147385472
Qatar 3 , Gaia DR2 2878641361300809856 , Gaia DR3 2878641361300809856
WASP-145 A , Gaia DR2 6458529931463278848 , Gaia DR3 6458529931463278848
K2-172 , Gaia DR2 2602237602799035008 , Gaia DR3 2602237602799035008
