designation,    u,    v,    w
Gaia DR3 2323496840924417792,2.4932284224178725,2.3983403062672863,-34.8461118951549
Gaia DR3 2318440908502983936,6.938968294857199,-0.1308539275119287,-69.67266588552371
Gaia DR3 2323694306340956032,4.178765986513191,4.03957767301722,-47.149550210725266
Gaia DR3 2323695508932016384,6.491387634778697,6.111092122649957,-70.87032733258451
Gaia DR3 2323723065442279296,6.088382666324186,5.710536353656494,-70.77871782711313
Gaia DR3 2318637377486960896,6.350429661387494,0.9083251628561335,-56.38495495356913
Gaia DR3 2318637785507972736,4.876865628247414,0.7084625614903928,-43.50835186953602
Gaia DR3 2318637789803820800,4.859111828708317,0.7054918502784204,-43.3458434305942
Gaia DR3 2323761887650523520,3.172049928307106,3.4705011687670417,-42.735439239195316
Gaia DR3 2318709017541569536,5.540173365287465,0.8311342253192784,-58.12350762108316
Gaia DR3 2318791824510939008,5.0031608943137265,-0.3444596989776798,-60.442300949654225
Gaia DR3 2323834734591767808,3.0944803338942073,3.751790931590092,-41.622548361847876
Gaia DR3 2323843358886071168,4.614538297773706,5.421264681549719,-58.420860330691774
Gaia DR3 2323843530684762880,5.973725951898468,6.998915020611683,-75.28912764610295
Gaia DR3 2318867037978206592,3.6711203465798814,0.20966962559330682,-42.61507229384278
Gaia DR3 2318997948581442304,3.8204582363767248,0.5559796493546756,-65.62655108844962
Gaia DR3 2319314573570250496,4.748010779006314,1.9813394138787999,-66.88033501297721
Gaia DR3 2319314573570250880,4.653987010857524,1.942271381448613,-65.70473285699488
Gaia DR3 2314853098982352768,10.799106756871234,-4.586598971230131,-64.3357833196757
Gaia DR3 2314863475623335552,11.884966530189905,-4.877400568281452,-70.87608073154935
Gaia DR3 2314905531943801728,10.479921393536682,-4.129531946097032,-64.62839577226558
Gaia DR3 2315022767370216320,9.551518979205394,-3.6156371795943905,-63.02408773097234
Gaia DR3 2315062590306950528,10.717964381540618,-3.899678244286445,-68.56332017263611
Gaia DR3 2315189034144182400,12.833672255094125,-3.6229394438698534,-77.21145688475924
Gaia DR3 2315343240650059520,8.256264942919005,-2.141027236187746,-51.87939694184655
Gaia DR3 2315390347851431680,3.20981116534375,-0.7733994715157824,-21.903766109765137
Gaia DR3 2315403679429887616,6.748900708425063,-1.3641710061823424,-44.686579498307935
Gaia DR3 2315407630799826432,11.281187515017454,-2.4448803164586117,-77.69038866255201
Gaia DR3 2315437214534601984,9.797918343003577,-3.647326298710585,-70.01261585536426
Gaia DR3 2315505556054204416,9.096856096840384,-2.9509409569105607,-63.99152107283528
Gaia DR3 2315657456161729408,9.557556647895085,-2.9836489495626104,-79.12302767900287
Gaia DR3 2315781327314350720,9.32561406459912,-2.071077007144293,-67.67358669219766
Gaia DR3 2315801462121049856,5.150200386286789,-1.2098219721877346,-37.89241955503811
Gaia DR3 2315826922687208192,9.973626560541124,-2.007988218946636,-74.69489489365293
Gaia DR3 2315841869173294080,4.38596097906279,-1.188919762101646,-34.73315039235807
Gaia DR3 2315841869173294208,4.380620555583437,-1.1898691017598075,-34.680607996024555
Gaia DR3 2315847263652247040,5.705558752564189,-1.6638611556773668,-47.219786989404106
Gaia DR3 2315847263652931712,5.722595778739668,-1.6643564092950456,-47.360334329718825
Gaia DR3 2315849737553379840,4.31269142935091,-1.1686069462958688,-34.721745703951015
Gaia DR3 2315857227976341504,5.722500647795417,-1.4414397281052977,-45.720326849714965
Gaia DR3 2315873583211865600,7.3358898198826346,-2.1293365383185368,-62.770232159393835
Gaia DR3 385796502515670016,-20.802638072004118,40.27083630093543,-14.371901010947784
Gaia DR3 383556526748916224,-32.715408461145294,63.80338227191204,-27.16465568672106
Gaia DR3 382598989560112000,-23.719293031588176,44.76338004229248,-17.816171588048302
Gaia DR3 382627439423335808,-20.014396852028995,38.24386287638466,-14.809946848654937
Gaia DR3 387611353832708352,-24.80454287559124,42.22963523225657,-17.649587608807973
Gaia DR3 387612109746951168,-24.88889796645409,42.39431710498039,-17.707454728101716
Gaia DR3 382688805916821120,-32.76866158698832,61.198365945191924,-23.642937517641993
Gaia DR3 387671689533227264,-34.80799354472231,59.940516331848194,-24.50891124489928
Gaia DR3 387674403952542592,-27.87025337078637,47.923531039496396,-19.463824345022484
Gaia DR3 387677251514856064,-22.815463127691313,39.32325801403647,-15.928509124618323
Gaia DR3 382733782814386944,-36.10432763850469,66.87346448139077,-24.971955976826692
Gaia DR3 387731166240901632,-22.427686070352312,39.004307422598515,-15.19007824773606
Gaia DR3 387816103513548416,-26.30265860185775,45.032409137611396,-17.540581121482116
Gaia DR3 385105085797369856,-33.69819632333387,65.4123320109094,-26.730747034342713
Gaia DR3 385125186244208128,-29.71060065328411,58.71115209070984,-23.559390946661487
Gaia DR3 385125186244208256,-30.36357739362957,60.00024300121596,-24.07704969452185
Gaia DR3 385213765650245760,-21.65653876345263,42.148727696027294,-16.751623337522233
Gaia DR3 388239003173684992,-34.33638151828984,58.62298846786368,-21.837622190155805
Gaia DR3 390077936372822912,-22.161359514520438,37.523628214130405,-12.005716237570008
Gaia DR3 390104324651977728,-27.59336214135259,46.04860300452119,-14.420937575543334
Gaia DR3 390882057330792448,-35.522204013731084,60.68467688835203,-18.522968030979595
