Sol                  ranks  141 of  601 stars in decreasing density
Sol                  ranks  370 of  601 stars in decreasing residuals
Sol                  ranks   43 of   77 stars with |v| within 1.250000


           Gaia id            |   rho   |    D    |    u     |    v     |    w     |    U     |    V     |    W     
                              |         |         |   [pc]   |   [pc]   |   [pc]   |  [km/s]  |  [km/s]  |  [km/s]  
------------------------------------------------------------------------------------------------------------------------
Gaia DR3 1504510899008497408  |6.035e+00|4.628e-01| 1.713e+00| 1.354e+01| 3.259e+01|-2.140e+01|-8.662e+00|-4.522e+00
Gaia DR3 3684209443131623040  |8.427e-01|6.425e-01| 1.321e+01|-1.472e+01| 3.321e+01|-2.895e+01|-2.734e+01|-1.616e+01
Gaia DR3 2543657311193637760  |1.884e-01|8.247e-01|-5.316e+00| 1.310e+01|-2.691e+01|-6.536e+01|-3.878e+00|-1.240e+01
Gaia DR3 1599839691007784192  |1.280e-01|8.796e-01| 3.157e-01| 2.253e+01| 2.807e+01|-6.403e+01| 2.145e+01|-9.251e+00
Gaia DR3 6805284253547188608  |6.046e-02|9.967e-01| 2.544e+01| 9.007e+00|-1.956e+01|-2.542e+01|-8.139e+01| 1.303e+01
Gaia DR3 5459060117921483008  |8.017e-01|6.478e-01|-5.290e-01|-2.119e+01| 7.338e+00|-2.578e+01|-3.439e+01| 4.530e+00
Gaia DR3 1978981124532078976  |3.009e+00|5.197e-01|-2.472e+00| 3.322e+01|-1.497e+00| 1.737e+01|-7.014e+00|-5.613e+00
Gaia DR3 1383806443791364608  |3.184e+00|5.148e-01| 8.314e+00| 1.804e+01| 2.468e+01| 3.644e+01| 1.712e+01| 9.643e-01
Gaia DR3 3407611182744289152  |1.794e-01|8.315e-01|-1.548e+01|-1.039e+00|-3.563e+00|-1.504e+01|-1.157e+01| 3.569e+01
Gaia DR3 6326190169323093760  |1.626e-01|8.452e-01| 1.876e+01|-4.817e+00| 1.797e+01|-5.259e+01|-1.324e+01|-3.105e+01
Gaia DR3 4838250838987898880  |6.969e+00|4.518e-01|-3.367e+00|-9.416e+00|-1.073e+01| 2.143e-01| 4.987e+00|-7.004e+00
Gaia DR3 5020488775257395456  |5.377e-02|1.016e+00|-5.508e+00|-6.527e+00|-3.247e+01| 5.310e+00|-4.696e+01| 4.228e+01
Gaia DR3 1708548680524012032  |2.116e-01|8.089e-01|-1.313e+01| 2.813e+01| 2.170e+01| 1.889e+01|-2.266e+01|-3.663e+01
Gaia DR3 2993141169326149504  |3.650e+00|5.032e-01|-2.746e+01|-2.488e+01|-1.059e+01| 6.986e-01| 1.289e+01|-6.166e+00
Gaia DR3 5702187702467261696  |1.215e+00|6.044e-01|-1.055e+01|-2.422e+01| 5.785e+00|-2.390e+01|-1.766e+01| 1.406e+01
Gaia DR3 2691711602755861376  |7.640e-01|6.531e-01| 1.722e+01| 2.574e+01|-2.038e+01| 1.471e+01|-3.916e+01|-1.179e+00
Gaia DR3 6548272139240237184  |1.905e+00|5.608e-01| 1.197e+01|-1.921e+00|-2.723e+01|-3.853e+01|-5.560e+00| 8.618e+00
Gaia DR3 2870356816063753728  |9.434e-01|6.305e-01|-4.094e+00| 2.147e+01|-1.191e+01|-8.360e+00|-7.772e+00| 2.202e+01
Gaia DR3 3089012054917617024  |4.423e-02|1.050e+00|-2.518e+01|-1.916e+01| 8.446e+00|-6.679e+01|-5.434e+01|-4.322e+01
Gaia DR3 4719084256940884608  |7.355e+00|4.478e-01| 3.391e+00|-1.039e+01|-1.782e+01|-3.534e+00|-1.589e+01|-4.229e+00
Gaia DR3 757183806364282496   |3.418e+00|5.088e-01|-1.296e+01|-3.231e+00| 3.656e+01| 1.532e+01| 1.014e+01|-5.294e+00
